"subject" "activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyAccMag-mean()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroJerkMag-mean()"
10 "LAYING" 0.276977089565657 -0.0170332984576263 -0.110873504487879 0.740684960252525 -0.207161356161616 0.108410428305944 0.0794633942257576 0.0169399674191919 -0.0162372728227273 -0.0150986647713131 -0.0917433860077424 0.0852285528396465 -0.111993956719192 -0.0397793980300505 -0.0573109579154545 -0.357419738586162 -0.357419738586162 -0.462110641822066 -0.388314506775758 -0.665691018181818 -0.391578450863636 -0.384966594429798 -0.554573027192929 -0.412057314516667 -0.463058241109444 -0.645684616799495 -0.523601248676313 -0.545223158712121 -0.458413809783333 -0.388684286908081 -0.385138891111111 -0.572513090661616 -0.710849269646465
10 "STANDING" 0.276583204166667 -0.0194909304979167 -0.1121843393125 0.441236068541667 0.2005691803125 -0.05453204484375 0.080527512159375 0.004611439794375 -0.00128744623489583 -0.0255225107895833 -0.0699903917025 0.10298476965625 -0.10022438078125 -0.0478723615625 -0.0519245405385417 -0.801728673104167 -0.801728673104167 -0.8162927158125 -0.797174474479167 -0.876313803854167 -0.822505930166667 -0.720876538833333 -0.862321343125 -0.826063598282292 -0.744950073 -0.878450186458333 -0.819983751770833 -0.861050933645833 -0.792357543844792 -0.786961677072917 -0.783269770302083 -0.845024943541667 -0.8851999225
11 "WALKING_UPSTAIRS" 0.27658531139557 -0.0191272531933228 -0.108941761642405 0.730526184936709 0.0527387028613924 0.140209861246835 0.0830134540658228 0.0078044254343038 -0.00657424975259494 -0.0547328440272468 -0.0582275770813291 0.087284109682356 -0.0805473309873418 -0.0493914065474684 -0.0480140167267405 -0.542825032813608 -0.542825032813608 -0.679819504547468 -0.628367851066456 -0.826829028481013 -0.619524028324684 -0.531455265662532 -0.750026145791139 -0.676672987166456 -0.632374688606013 -0.825559590221519 -0.709949332117089 -0.776852868955696 -0.708842979272152 -0.611528074359177 -0.656133473274684 -0.757585939588608 -0.864827011392405
12 "LAYING" 0.27360872421875 -0.018337204411489 -0.106649116775 0.69922245131875 0.029976775735 0.0330295544910625 0.070430311315625 0.0053115377979375 0.0003081123684 -0.0628663472537188 -0.0592027333975 0.0960742146838125 -0.0731134377315625 -0.043678823491875 -0.0574585039485312 -0.559586545675313 -0.559586545675313 -0.6300504918575 -0.63166805889875 -0.77729447821875 -0.578920210879375 -0.523287078731563 -0.7266403145 -0.599109317756219 -0.591296422972219 -0.7754265825625 -0.661246826087188 -0.74479814778125 -0.657369914584375 -0.55928367746625 -0.564239194378438 -0.717311676745625 -0.78990285099375
13 "LAYING" 0.275895876198777 -0.0176504796070948 -0.109135285550765 0.709996516908257 -0.0420858101162079 0.0443010536786239 0.0794393034550306 0.00387961953328135 -0.0123485923641621 -0.0562470618980061 -0.0616613787494801 0.098866059686422 -0.0881182379434251 -0.0440836605146789 -0.0582718748712538 -0.539871637249541 -0.539871637249541 -0.625466938809174 -0.581215403184709 -0.712745036012232 -0.638817912651682 -0.493467193137125 -0.629736258731804 -0.66008217407156 -0.603340489937615 -0.710831730361468 -0.65864242140581 -0.647152817899388 -0.620471226529052 -0.589928108599083 -0.607295296423853 -0.652225306544343 -0.712054366504281
14 "WALKING_UPSTAIRS" 0.270184596009288 -0.0162548178510526 -0.100985935692074 0.672081224882353 -0.111701388781115 -0.161179728291022 0.0741757467665015 0.00443682723817957 -0.00253044692473994 0.000253671358297214 -0.0954921154823529 0.0606712446996904 -0.107556127062003 -0.0433200489340217 -0.0450693836894427 -0.453262620331889 -0.453262620331889 -0.608973420309907 -0.416459776709257 -0.700520939854799 -0.619513271851703 -0.455237617000929 -0.440650672343653 -0.654385009392879 -0.598699531399381 -0.618712162187307 -0.699166400749226 -0.50463317018839 -0.42391821438452 -0.490874179820433 -0.596896308848452 -0.543030528985449 -0.717590101802972
15 "WALKING_UPSTAIRS" 0.27821340725 -0.016464484771311 -0.112563587594512 0.688872511512195 0.102660491875 0.0372897701757012 0.0776897411304878 0.00489392052706402 -0.00440993190077744 -0.0281278780610671 -0.075878845519878 0.0906658516 -0.0960910108539634 -0.0441270690182012 -0.0555645456881098 -0.527285352000488 -0.527285352000488 -0.654799694757531 -0.617721779796037 -0.805282669512195 -0.583772317445122 -0.507735205778384 -0.741745724698171 -0.643469519361585 -0.609408057377744 -0.805543465588415 -0.664354428856402 -0.760711411006098 -0.711194539920732 -0.562948391223628 -0.614817605125915 -0.732394493841463 -0.83680189402439
16 "WALKING_UPSTAIRS" 0.277887440374317 -0.0158567888309016 -0.107263924445355 0.700906130308743 -0.0605235993797814 0.0402075536234973 0.0775488885374317 0.00884018328270219 -0.00143730005564208 -0.0122341446725137 -0.0724444803980874 0.0730144651530055 -0.107361614801257 -0.0416615668939617 -0.0539470410873497 -0.616131116889044 -0.616131116889044 -0.725246870486339 -0.718168775628415 -0.860446372459016 -0.700885147341803 -0.671572147098798 -0.660989948160437 -0.744662041612022 -0.748627001551913 -0.752302172079235 -0.789780147036612 -0.815962130027322 -0.756286641721311 -0.666962508246721 -0.713167613706148 -0.81712881920765 -0.87277228273224
17 "WALKING_DOWNSTAIRS" 0.273849441115044 -0.0175178488555457 -0.10894543593472 0.681018816489676 0.00208485938053097 0.00457967780088496 0.081880267239528 0.0083599305380531 0.00313640220584071 -0.0137199915971209 -0.0841275327556873 0.0761605469356047 -0.108510381387316 -0.0389503517365487 -0.0505134530712979 -0.532690252939646 -0.532690252939646 -0.671076885553097 -0.649912792768584 -0.794708804985251 -0.622462544449351 -0.569180425379852 -0.696059808678466 -0.692948207482301 -0.669598735445428 -0.786440272035398 -0.706700939954277 -0.75655421820059 -0.704461092123894 -0.616776986006785 -0.672302752918879 -0.750925804837758 -0.815081807581121
17 "WALKING_UPSTAIRS" 0.276134936206897 -0.0178192998868966 -0.112173902413793 0.908399606896552 -0.198659870344828 -0.278195591724138 0.0758626965517241 0.0100040808789655 -0.00236484369931035 -0.0257577297931034 -0.0661512840241379 0.087130975137931 -0.100183297172414 -0.0417622900689655 -0.0547796899655172 -0.985418968275862 -0.985418968275862 -0.993245806206897 -0.983299607586207 -0.994309820689655 -0.994496322758621 -0.982367664137931 -0.986495766206897 -0.994117062068966 -0.988820999655172 -0.990597965172414 -0.985993540344828 -0.987392253103448 -0.988668107931034 -0.990007266206896 -0.993005947241379 -0.986607555172414 -0.99327833
18 "LAYING" 0.276324152142857 -0.0172831546595266 -0.108112251068681 0.716863248351648 -0.01578199625 0.0899901746593407 0.077480921531044 0.0128850449171841 0.000848545124184616 -0.0373993798891484 -0.0678200104982143 0.0908402866868132 -0.0944029581558242 -0.044169186546978 -0.0568482569002198 -0.658370952115385 -0.658370952115385 -0.753904676895604 -0.714735668626374 -0.859899942335165 -0.714227764615385 -0.663659666593407 -0.761229192087912 -0.750020077252747 -0.744113444532967 -0.833032083021978 -0.787757637521978 -0.816385880247253 -0.755926770686813 -0.697732862178571 -0.742323821887363 -0.816286626730769 -0.88466302260989
19 "WALKING_DOWNSTAIRS" 0.269723487105556 -0.0182031515710306 -0.118277180099383 0.475323016 0.0964052626666667 0.233011401195083 0.0774171147766389 0.0115812421960876 -0.00186198850195833 -0.0385723953346511 -0.0681420603177778 0.0883609591559167 -0.0895939425055556 -0.0383208736670278 -0.0569649444286944 -0.531507362111361 -0.531507362111361 -0.5762252472125 -0.548919668132222 -0.683436541824444 -0.587050355097528 -0.521888076609778 -0.647026298284028 -0.593157169174611 -0.596694943936944 -0.680924493180556 -0.553089575942778 -0.641337299817778 -0.602625307818389 -0.556404444967972 -0.576064647812278 -0.636287999799167 -0.719519008752778
20 "LAYING" 0.268425757926554 -0.0175912993773164 -0.108029145824294 0.628040637177966 -0.0373059475847458 0.10723075947935 0.079818125480791 0.00220928707107345 -0.00450611895602542 -0.0242488811785028 -0.0789448418069209 0.0856280628860452 -0.094982179135 -0.0414356124141243 -0.0543001277610169 -0.517257429345412 -0.517257429345412 -0.619698756735028 -0.516861235888701 -0.684048497355932 -0.612641113666949 -0.426398722000395 -0.665006945724294 -0.652264226931438 -0.557791286001412 -0.732835648957627 -0.626445370827119 -0.591039733449633 -0.518444509491525 -0.560278889421186 -0.584571446817062 -0.606970915061638 -0.692638075749774
21 "WALKING_DOWNSTAIRS" 0.277466525522059 -0.0176664578561765 -0.10877848058848 0.645775957808824 -0.0750963071446078 0.0321851774362745 0.0822207874776961 0.00350107553584853 -0.010659072671299 -0.0276346639303578 -0.0784719736838971 0.0861212668362745 -0.100558317889216 -0.0408236141863333 -0.0533861046416422 -0.620309259553676 -0.620309259553676 -0.703461275879657 -0.693779224517157 -0.807817403137255 -0.693486097144118 -0.59377821414902 -0.707713799021814 -0.71641413145049 -0.678615118728922 -0.767351986555392 -0.752040828651961 -0.759325714811275 -0.709471420465686 -0.658664719514706 -0.679742584809363 -0.776473060171569 -0.826275026053922
22 "SITTING" 0.242298449272727 -0.0316561370181818 -0.105664296590909 0.870172199545455 -0.350769156818182 -0.1765357405 0.105897183954545 0.0320774996545455 -0.0326983629140909 0.119614300727273 -0.172162155445455 -0.0046475084 -0.119050870677727 -0.0593756069681818 -0.0743422650272727 0.194598717272727 0.194598717272727 -0.0662072290227273 -0.137333612554545 -0.543885972272727 -0.0414589456 0.1231057773 -0.198565773954545 0.00774466264545455 -0.042898966 -0.38815349 -0.237124032272727 -0.483080167727273 -0.158548504727273 -0.0295832732681818 0.00382710664090909 -0.354449740454545 -0.642050515
22 "WALKING_DOWNSTAIRS" 0.277156731173244 -0.0157362798544615 -0.108891559940803 0.590202951371237 0.059637422 0.266233413475819 0.0771316429411706 0.0140196360738796 -0.00535471338117057 -0.0173964514566555 -0.0892861352287625 0.0875601891371237 -0.108536983918729 -0.0369228007661538 -0.0570277658573913 -0.555508409465953 -0.555508409465953 -0.649767623265886 -0.674479870696321 -0.813134479966555 -0.63565324919699 -0.554621367574582 -0.723282881277592 -0.649283145619064 -0.613419188476589 -0.765568239732441 -0.669187479525084 -0.81408546735786 -0.679035334374582 -0.61441509667592 -0.628800131547492 -0.755664344113712 -0.844035139698997
23 "SITTING" 0.273493254730108 -0.019589258786828 -0.109093982385242 0.662324737580645 0.0146209197354839 0.0518662466372043 0.0778588215843817 0.0200470964972984 -0.000717680881887096 -0.0220890418013172 -0.0825972963754032 0.074694942324328 -0.0966990737225806 -0.0432722741798387 -0.0621959093526344 -0.532754757205108 -0.532754757205108 -0.58640067170914 -0.544207964433387 -0.623412641977151 -0.599080886430645 -0.548483208943548 -0.49021281618414 -0.617521836605645 -0.628231338392742 -0.578870810235484 -0.685136501518817 -0.497783811010484 -0.617685416736559 -0.529029284118011 -0.542663319457527 -0.534657191683602 -0.584111049810215
24 "LAYING" 0.276767046391076 -0.0176822460103885 -0.107914503687664 0.69498126808399 0.0729509702152231 0.0623227714146982 0.0784735003467192 0.00396900308574016 -0.00700960558805774 -0.0212578096847769 -0.0782440202677165 0.0841740375981627 -0.0998294248142257 -0.0390749421383202 -0.0552987683401575 -0.620032665162467 -0.620032665162467 -0.713667423769029 -0.682447212750656 -0.791646550787402 -0.707613779580052 -0.611509042586877 -0.65585899482231 -0.752245372493438 -0.703641614506562 -0.719655747391076 -0.722607377748032 -0.753710479580053 -0.70948857687664 -0.650121872273806 -0.696845583388451 -0.754131617480315 -0.795019165380577
25 "SITTING" 0.275301467772127 -0.0193221769314914 -0.10962903098044 0.672386622127139 0.0471601427530562 0.239226040930391 0.0817657442063814 0.00638633884442543 -0.010346171499489 -0.00298151164792176 -0.083900354157824 0.0993606079900489 -0.108263884562298 -0.0389884753435208 -0.0555782223647433 -0.583377749713936 -0.583377749713936 -0.783445354474328 -0.625733064258924 -0.849630706259169 -0.748416509682152 -0.600027697242054 -0.738509947579462 -0.804144642836186 -0.740570312249389 -0.849504849486553 -0.672197763601467 -0.81313379207824 -0.746832213594132 -0.69501971 -0.779190075892421 -0.754236109755501 -0.875970674743276
26 "SITTING" 0.2730365808625 -0.0161687277463495 -0.107637894928571 0.615123534668367 0.10870478277551 0.234107010472449 0.0808743261341837 0.00767709978181122 -0.00724891943768878 -0.020659932105102 -0.0827415060904082 0.0917853294044643 -0.0988125627461224 -0.040476400288852 -0.0558282743354031 -0.600932264175765 -0.600932264175765 -0.694917859209184 -0.694597662936224 -0.798325916709184 -0.65109030186199 -0.610425833240306 -0.724046087155612 -0.699413168295663 -0.696726473912755 -0.76956529125 -0.703109561068878 -0.799353075357143 -0.689404846813776 -0.6317569828625 -0.679278323637755 -0.770504884821429 -0.823865297193878
27 "SITTING" 0.277264567074468 -0.0167969215592152 -0.110848300413564 0.627230079867021 0.032242387143617 0.14116869604876 0.0768320396617021 0.00617714992829521 -0.00495000607441489 -0.0608887602789628 -0.0552177945716489 0.108947089653191 -0.0893066039356303 -0.0450414487725798 -0.0586254676047872 -0.627947737417819 -0.627947737417819 -0.70180744799867 -0.694016019806117 -0.823067662473404 -0.681454795855319 -0.641267840429521 -0.715482857547872 -0.714554678365692 -0.694509658473138 -0.76857445225266 -0.768505711292553 -0.795433953608777 -0.702788513114362 -0.667185803946808 -0.688572791044947 -0.785953610106383 -0.837585999827128
28 "SITTING" 0.278739266553398 -0.0187975204834951 -0.107807008381068 0.647073359805825 -0.137379481334951 -0.00797649700048543 0.0792910308825243 0.0135107680737864 0.00364494866063107 -0.0567790137621359 -0.0488593126606262 0.0966943342504854 -0.0898649942082524 -0.0456655215715049 -0.0591893236052913 -0.644599448147087 -0.644599448147087 -0.723779362805825 -0.683567422362136 -0.813718189757282 -0.68776883432233 -0.622841114519417 -0.741462254985437 -0.718019745738835 -0.705976257345146 -0.804585188883495 -0.70487616923301 -0.773967850635922 -0.709727226558252 -0.656100294024272 -0.706908798520874 -0.762735296006796 -0.826660930776699
28 "STANDING" 0.276120153465909 -0.0196106242455114 -0.111939260223295 0.596489908068182 -0.159514371232955 -0.0926602648977273 0.0824062308022727 0.0141872457548864 -0.00247734002281818 -0.0735291511680114 -0.0451436890589205 0.105692923933523 -0.0860805048176136 -0.0437809983988636 -0.0626159225017045 -0.569569991120455 -0.569569991120455 -0.649224303329546 -0.607539045567045 -0.760708643386364 -0.614814832168182 -0.540562190071023 -0.684319004011364 -0.650093316014205 -0.629450020630682 -0.749187660607954 -0.638634953056818 -0.715582747721591 -0.631127818871023 -0.596766476930682 -0.638582720019318 -0.708848978369318 -0.783731989943182
29 "STANDING" 0.279111521944767 -0.018471953048314 -0.108675612269477 0.683067625610465 0.115489757911628 0.208215370043721 0.0788382324713372 0.00900161248883721 -0.00355290542467733 -0.0101831910869331 -0.0882883296441861 0.0881626266546221 -0.100707751809855 -0.0464322029527616 -0.052785999031686 -0.553585593347965 -0.553585593347965 -0.664538060484884 -0.602228993700349 -0.802293906366279 -0.579901000186134 -0.587686308146221 -0.680547675465116 -0.629875853152035 -0.641289075786337 -0.768433928313954 -0.685747413486628 -0.735972301656977 -0.689221357718023 -0.589294014734302 -0.609879937469099 -0.722018434984302 -0.840464164156977
30 "STANDING" 0.276305836721932 -0.0175856077340209 -0.10589355727859 0.696858200678851 0.0512698188974987 0.184343178348037 0.0734799270148825 0.00730438257971279 -0.000653871890373369 -0.0354229280326632 -0.0717482452402089 0.0834544586693995 -0.0926769005274151 -0.0412903779669452 -0.0493556177875196 -0.538131194183003 -0.538131194183003 -0.697050126998956 -0.510032754098198 -0.785870931331593 -0.635650125322193 -0.55849001001906 -0.634958546900783 -0.685307771157441 -0.671673670524282 -0.755432212793734 -0.667418236692689 -0.629910665959817 -0.615699347830287 -0.600372067046214 -0.656339723754047 -0.669600510563003 -0.811292332428198
